Part Name,Link,Vendor,Qty,Price Per Unit,Total Item Price,Notes
,,,,,,
Fishing Line (300M-CODE1.5-25LB),https://www.aliexpress.us/item/3256806677560595.html?spm=a2g0o.productlist.main.4.1c9718um18umJM&algo_pvid=999e17b3-0a6d-4942-ad1d-92955d9c84f5&algo_exp_id=999e17b3-0a6d-4942-ad1d-92955d9c84f5-3&pdp_ext_f=%7B%22order%22%3A%2223078%22%2C%22eval%22%3A%221%22%2C%22orig_sl_item_id%22%3A%221005006863875347%22%2C%22orig_item_id%22%3A%221005005227039575%22%2C%22fromPage%22%3A%22search%22%7D&pdp_npi=6%40dis%21USD%217.81%213.21%21%21%2155.00%2122.57%21%402101f70717641358719793877e2b55%2112000038553021864%21sea%21US%212678897144%21X%211%210%21n_tag%3A-29919%3Bd%3A28536d55%3Bm03_new_user%3A-29895%3BpisId%3A5000000194135755&curPageLogUid=xqlwFctEmkCP&utparam-url=scene%3Asearch%7Cquery_from%3A%7Cx_object_id%3A1005006863875347%7C_p_origin_prod%3A1005005227039575#nav-specification,Aliexpress,1,$3.68,$3.68,
Elastic Band (2mm 10meters),https://www.aliexpress.us/item/3256803466347856.html?spm=a2g0o.productlist.main.1.52651e71xRlgI6&algo_pvid=f6990475-757a-4a06-938b-dfa27ee70910&algo_exp_id=f6990475-757a-4a06-938b-dfa27ee70910-46&pdp_ext_f=%7B%22order%22%3A%224697%22%2C%22eval%22%3A%221%22%2C%22fromPage%22%3A%22search%22%7D&pdp_npi=6%40dis%21USD%211.05%211.01%21%21%211.05%211.01%21%402101dedf17641361835425633e0b85%2112000026659754083%21sea%21US%212678897144%21X%211%210%21n_tag%3A-29919%3Bd%3Aff45761e%3Bm03_new_user%3A-29895&curPageLogUid=SwbsAVxUO2GD&utparam-url=scene%3Asearch%7Cquery_from%3A%7Cx_object_id%3A1005003652662608%7C_p_origin_prod%3A#nav-specification,Aliexpress,1,$1.75,$1.75,
MG996R Servo Motors,https://www.aliexpress.us/item/3256807958407137.html?spm=a2g0o.productlist.main.1.58c639baZOv3wH&algo_pvid=6b97eacc-cf69-4e60-b34a-daa432e3d684&algo_exp_id=6b97eacc-cf69-4e60-b34a-daa432e3d684-0&pdp_ext_f=%7B%22order%22%3A%222974%22%2C%22eval%22%3A%221%22%2C%22orig_sl_item_id%22%3A%221005008144721889%22%2C%22orig_item_id%22%3A%221005010139978898%22%2C%22fromPage%22%3A%22search%22%7D&pdp_npi=6%40dis%21USD%218.85%213.54%21%21%2162.52%2125.04%21%402103123917641152374703488eb33f%2112000043981133715%21sea%21US%212678897144%21X%211%210%21n_tag%3A-29919%3Bd%3Aff45761e%3Bm03_new_user%3A-29895%3BpisId%3A5000000194137714&curPageLogUid=x0eCaFTvWNqL&utparam-url=scene%3Asearch%7Cquery_from%3A%7Cx_object_id%3A1005008144721889%7C_p_origin_prod%3A1005010139978898,Aliexpress,5,$3.54,$17.70,
Glove for Gesture Control,https://www.aliexpress.us/item/3256806453163489.html?spm=a2g0o.productlist.main.1.2b78VRsUVRsU7m&algo_pvid=c77b095d-d442-4ba9-9b32-bafe290ad977&algo_exp_id=c77b095d-d442-4ba9-9b32-bafe290ad977-0&pdp_ext_f=%7B%22order%22%3A%22419%22%2C%22eval%22%3A%221%22%2C%22fromPage%22%3A%22search%22%7D&pdp_npi=6%40dis%21USD%211.49%211.42%21%21%211.49%211.42%21%402101e2b617641371180933023ec353%2112000037896992023%21sea%21US%212678897144%21X%211%210%21n_tag%3A-29919%3Bd%3Aff45761e%3Bm03_new_user%3A-29895&curPageLogUid=y11qQYStVuEl&utparam-url=scene%3Asearch%7Cquery_from%3A%7Cx_object_id%3A1005006639478241%7C_p_origin_prod%3A,Aliexpress,2,$1.54,$3.08,"Quantity two, one for human hand, one for robot hand to make it look professional"
PCB,Screenshot,JCLPCB,1,$9.28,$9.28,Price with shipping
Flex Sensors,https://www.adafruit.com/product/1070,Adafruit,5,$7.95,$39.75,$5 shipping for Adafruit
Force Sensors FSR402,https://www.aliexpress.us/item/3256801705862124.html?spm=a2g0o.productlist.main.2.714f52f908js4t&algo_pvid=83072175-b39c-473d-94bd-cc978ca7fe32&algo_exp_id=83072175-b39c-473d-94bd-cc978ca7fe32-0&pdp_ext_f=%7B%22order%22%3A%22346%22%2C%22eval%22%3A%221%22%2C%22fromPage%22%3A%22search%22%7D&pdp_npi=6%40dis%21USD%212.10%211.90%21%21%212.10%211.90%21%402103129f17641142744944828e1070%2112000029375451607%21sea%21US%212678897144%21X%211%210%21n_tag%3A-29919%3Bd%3Aff45761e%3Bm03_new_user%3A-29895&curPageLogUid=u7hCV1u7F19a&utparam-url=scene%3Asearch%7Cquery_from%3A%7Cx_object_id%3A1005001892176876%7C_p_origin_prod%3A,Aliexpress,5,$2.11,$10.55,For fingertips
ESP32,https://www.amazon.com/ESP-WROOM-32-Development-Dual-Mode-Microcontroller-Integrated/dp/B07WCG1PLV/ref=sr_1_6?crid=27Z6YUVI3ZFB4&dib=eyJ2IjoiMSJ9.eSfCyV0sMSPRyuiuOnfPf4EcKgl7-atHllt6tRHkHq1fvhqh2h_3XNkppDs9UH-NVRtdyWfZbPpjuEMZxYX6wTU9bAkQCOWUnsnA1BBiwV9eRqSjiQ1GSYBQ_eMgHcDl7q4HgI_aeBV4ss3Sw8KqA4q6N6liILI4Jpd170DV7w3hiD9034ORqlPcrzeHJcQ1BzVdbIi7Ozz3RXltNKSeuJ2ZVaqanVFH6ROV-iGEkPY3DI0qYNaFljQ84HNtqrSSRxIcRL9NmXbrfEp-o1wQ8FCb64lBdPrPI8xzsd1NDl4.r_NIERlo_BSESEDlaIkQTW7l1km7J7-XFVnqr1uPUWo&dib_tag=se&keywords=esp%2B32&qid=1763879388&s=electronics&sprefix=esp%2B32%2Celectronics%2C131&sr=1-6&th=1,Amazon,1,$8.99,$8.99,
M4 Bolt 45mm,https://www.aliexpress.us/item/3256805692722422.html?spm=a2g0o.productlist.main.22.1f2c1c7bBmGKwz&aem_p4p_detail=20251125221303747978854035050000396496&algo_pvid=b5576ade-2b47-410d-8d5f-e73d6508f897&algo_exp_id=b5576ade-2b47-410d-8d5f-e73d6508f897-19&pdp_ext_f=%7B%22order%22%3A%228503%22%2C%22eval%22%3A%221%22%2C%22fromPage%22%3A%22search%22%7D&pdp_npi=6%40dis%21USD%212.01%211.91%21%21%212.01%211.91%21%402101d6ff17641375832284002e8850%2112000034679037311%21sea%21US%212678897144%21X%211%210%21n_tag%3A-29919%3Bd%3Aff45761e%3Bm03_new_user%3A-29895&curPageLogUid=1TE9tD01TeyL&utparam-url=scene%3Asearch%7Cquery_from%3A%7Cx_object_id%3A1005005879037174%7C_p_origin_prod%3A&search_p4p_id=20251125221303747978854035050000396496_5,Aliexpress,1,$1.77,$1.77,For thumb joint
M4 Bolt 65mm,https://www.aliexpress.us/item/3256805692722422.html?spm=a2g0o.productlist.main.22.1f2c1c7bBmGKwz&aem_p4p_detail=20251125221303747978854035050000396496&algo_pvid=b5576ade-2b47-410d-8d5f-e73d6508f897&algo_exp_id=b5576ade-2b47-410d-8d5f-e73d6508f897-19&pdp_ext_f=%7B%22order%22%3A%228503%22%2C%22eval%22%3A%221%22%2C%22fromPage%22%3A%22search%22%7D&pdp_npi=6%40dis%21USD%212.01%211.91%21%21%212.01%211.91%21%402101d6ff17641375832284002e8850%2112000034679037311%21sea%21US%212678897144%21X%211%210%21n_tag%3A-29919%3Bd%3Aff45761e%3Bm03_new_user%3A-29895&curPageLogUid=1TE9tD01TeyL&utparam-url=scene%3Asearch%7Cquery_from%3A%7Cx_object_id%3A1005005879037174%7C_p_origin_prod%3A&search_p4p_id=20251125221303747978854035050000396496_5,Aliexpress,1,$2.31,$2.31,For ring and pinky finger joint
M3 Heat Set Inserts (4.2 OD 4mmL),https://www.aliexpress.us/item/3256803396040989.html?spm=a2g0o.productlist.main.2.29565407tU090I&algo_pvid=b4620fea-76d0-46ff-a21b-e3dac9fd685c&algo_exp_id=b4620fea-76d0-46ff-a21b-e3dac9fd685c-1&pdp_ext_f=%7B%22order%22%3A%2215528%22%2C%22eval%22%3A%221%22%2C%22fromPage%22%3A%22search%22%7D&pdp_npi=6%40dis%21USD%211.77%211.60%21%21%211.77%211.60%21%402103274e17638490997798896e7e51%2112000026370649723%21sea%21US%212678897144%21X%211%210%21n_tag%3A-29919%3Bd%3Aff45761e%3Bm03_new_user%3A-29895&curPageLogUid=uiCawpZkTW66&utparam-url=scene%3Asearch%7Cquery_from%3A%7Cx_object_id%3A1005003582355741%7C_p_origin_prod%3A,Aliexpress,1,$2.03,$2.03,For Servo Motors Mounting
6x2 Magnets,https://www.aliexpress.us/item/3256809140919864.html?spm=a2g0o.productlist.main.2.6d173CRe3CReIR&algo_pvid=e872e5ed-2b4d-45bf-82c8-ef956a1135ea&algo_exp_id=e872e5ed-2b4d-45bf-82c8-ef956a1135ea-2&pdp_ext_f=%7B%22order%22%3A%227778%22%2C%22eval%22%3A%221%22%2C%22fromPage%22%3A%22search%22%7D&pdp_npi=6%40dis%21USD%216.45%212.69%21%21%2145.62%2119.02%21%402101f54117638532622663170e6628%2112000048769242433%21sea%21US%212678897144%21X%211%210%21n_tag%3A-29919%3Bd%3Aff45761e%3Bm03_new_user%3A-29895%3BpisId%3A5000000194120572&curPageLogUid=9g5VtP7lFqCs&utparam-url=scene%3Asearch%7Cquery_from%3A%7Cx_object_id%3A1005009327234616%7C_p_origin_prod%3A,Aliexpress,1,$3.03,$3.03,For mounting the top of the forearm
XH-M404 Buck Convertor,https://www.aliexpress.us/item/3256806242694144.html?spm=a2g0o.productlist.main.4.715eMOzoMOzoxL&algo_pvid=dd90902e-91df-460b-8c36-0d7fb38b1451&algo_exp_id=dd90902e-91df-460b-8c36-0d7fb38b1451-1&pdp_ext_f=%7B%22order%22%3A%22332%22%2C%22eval%22%3A%221%22%2C%22fromPage%22%3A%22search%22%7D&pdp_npi=6%40dis%21USD%212.15%212.13%21%21%2115.19%2115.05%21%40210328d417639320375793361e78df%2112000037138268106%21sea%21US%212678897144%21X%211%210%21n_tag%3A-29919%3Bd%3Aff45761e%3Bm03_new_user%3A-29895%3BpisId%3A5000000193062241&curPageLogUid=DJq7uOqj9dBd&utparam-url=scene%3Asearch%7Cquery_from%3A%7Cx_object_id%3A1005006429008896%7C_p_origin_prod%3A#nav-review,Aliexpress,1,$2.49,$2.49,Output to 6v for Servo's
JSTXH Connector and Wire,https://www.aliexpress.us/item/3256807274583113.html?spm=a2g0o.productlist.main.1.7e333860PqoGCC&algo_pvid=a50353a9-3d07-4f6c-a3cc-d68f619e0ee6&algo_exp_id=a50353a9-3d07-4f6c-a3cc-d68f619e0ee6-0&pdp_ext_f=%7B%22order%22%3A%226932%22%2C%22eval%22%3A%221%22%2C%22fromPage%22%3A%22search%22%7D&pdp_npi=6%40dis%21USD%211.38%211.30%21%21%211.38%211.30%21%402103129017640187286393053e2eb7%2112000040853255020%21sea%21US%212678897144%21X%211%210%21n_tag%3A-29919%3Bd%3Aff45761e%3Bm03_new_user%3A-29895&curPageLogUid=7WYmVla5wsYM&utparam-url=scene%3Asearch%7Cquery_from%3A%7Cx_object_id%3A1005007460897865%7C_p_origin_prod%3A,Aliexpress,2,$1.64,$3.28,For sensor connectors
10k Resistors,https://www.adafruit.com/product/2784,Adafruit,1,$0.75,$0.75,For force sensors
47k Resistors,https://www.adafruit.com/product/2786,Adafruit,1,$0.75,$0.75,For flex sensors
ADS1115 ADC Input Board,https://www.aliexpress.us/item/3256807442377637.html?spm=a2g0o.productlist.main.4.137apdRApdRAiz&algo_pvid=14451f87-e7ee-4826-b711-c74bf78e9ace&algo_exp_id=14451f87-e7ee-4826-b711-c74bf78e9ace-2&pdp_ext_f=%7B%22order%22%3A%221150%22%2C%22eval%22%3A%221%22%2C%22fromPage%22%3A%22search%22%7D&pdp_npi=6%40dis%21USD%212.40%212.40%21%21%2116.98%2116.98%21%402103123917641141904436453eb348%2112000041563143880%21sea%21US%212678897144%21X%211%210%21n_tag%3A-29919%3Bd%3Aff45761e%3Bm03_new_user%3A-29895&curPageLogUid=CpsMpuDdoTgi&utparam-url=scene%3Asearch%7Cquery_from%3A%7Cx_object_id%3A1005007628692389%7C_p_origin_prod%3A,Aliexpress,1,$2.40,$2.40,For connecting force sensors
M3 Hardware,https://www.aliexpress.us/item/3256806973435795.html?spm=a2g0o.productlist.main.30.4ebc36e8sI4PDb&algo_pvid=15551a72-a0d9-45b4-b36c-1858b61a66f9&algo_exp_id=15551a72-a0d9-45b4-b36c-1858b61a66f9-29&pdp_ext_f=%7B%22order%22%3A%223494%22%2C%22eval%22%3A%221%22%2C%22fromPage%22%3A%22search%22%7D&pdp_npi=6%40dis%21USD%215.19%214.90%21%21%215.19%214.90%21%402101e80317641374977615642e1a0a%2112000039655872513%21sea%21US%212678897144%21X%211%210%21n_tag%3A-29919%3Bd%3Aff45761e%3Bm03_new_user%3A-29895&curPageLogUid=rohvX8p8T95O&utparam-url=scene%3Asearch%7Cquery_from%3A%7Cx_object_id%3A1005007159750547%7C_p_origin_prod%3A,Aliexpress,1,$8.88,$8.88,
JSTXH-2P,https://www.aliexpress.us/item/3256806894018733.html?spm=a2g0o.order_list.order_list_main.58.74d618029hseV4&gatewayAdapt=glo2usa,Aliexpress,1,$1.60,$1.60,
3 Pin Headers,https://www.aliexpress.us/item/2255800801798474.html?spm=a2g0o.order_list.order_list_main.4.65811802QOZYCq&gatewayAdapt=glo2usa,Aliexpress,1,$1.46,$1.46,
JSTXH-4P,https://www.aliexpress.us/item/3256806894018733.html?spm=a2g0o.order_list.order_list_main.58.74d618029hseV4&gatewayAdapt=glo2usa,Aliexpress,1,$2.33,$2.33,
2 Wire Screw Terminals,https://www.aliexpress.us/item/3256801470316663.html?spm=a2g0o.order_list.order_list_main.94.136618029wASGg&gatewayAdapt=glo2usa,Aliexpress,1,$1.91,$1.91,
1.5mm Metal Rod (20mm length),https://www.aliexpress.us/item/2255800287548941.html?spm=a2g0o.productlist.main.1.469e430dKCo7tL&algo_pvid=a30e23f6-3345-45a0-81be-c0d1bdc3afbe&algo_exp_id=a30e23f6-3345-45a0-81be-c0d1bdc3afbe-6&pdp_ext_f=%7B%22order%22%3A%221998%22%2C%22eval%22%3A%221%22%2C%22fromPage%22%3A%22search%22%7D&pdp_npi=6%40dis%21USD%212.11%211.75%21%21%212.11%211.75%21%402103119c17641382886048875e2dd4%2110000001907670365%21sea%21US%212678897144%21X%211%210%21n_tag%3A-29919%3Bd%3Aff45761e%3Bm03_new_user%3A-29895%3BpisId%3A5000000194124540&curPageLogUid=AwWHSz7JHJuQ&utparam-url=scene%3Asearch%7Cquery_from%3A%7Cx_object_id%3A4000473863693%7C_p_origin_prod%3A,Aliexpress,1,$1.99,$1.99,To connect each joint together
,,,,,,
,,,,,,
Parts Total,$131.76,,,,,
Shipping Total,$5.00,Adafruit Shipping,,,,
Subtotal,$136.76,,,,,
Tax (Virginia 4.5%),$6.15,,,,,
Project Total,$142.91,,,,,
